record_id,title,included_in_validated_candidate_corpus,exclusion_reason,description_segments_total,narrative_segments,materials_segments,ambiguous_segments,has_narrative_document,has_materials_document,baseline_description_words
/2020601/https___1914_1918_europeana_eu_contributions_10689,FRAD087_042-Avant le départ pour la guerre. Juillet 1914. Jean MONTASTIER | Jean Monstatier's photography,True,,2,1,1,1,True,True,74
/2020601/https___1914_1918_europeana_eu_contributions_10695,"FRAD062_019 - Arthur Flippe, 1914-1917. | FRAD062_019 - Arthur Flippe, 1914-1917.",True,,2,1,1,0,True,True,52
/2020601/https___1914_1918_europeana_eu_contributions_10696,FRAM - Quatre frères au combat | Four brothers in Great War,True,,2,1,1,0,True,True,272
/2020601/https___1914_1918_europeana_eu_contributions_10708,FRAM - Jean-Baptiste Potier (1896-1966) | Document from Jean-Baptiste Potier,True,,2,1,1,0,True,True,77
/2020601/https___1914_1918_europeana_eu_contributions_10712,"L' affaire du Bonnet d'évêque, le 11 décembre 1914 | The Bishop's Bonnet Affair, December 11, 1914 the Life of Edmond Schaeffer",True,,2,1,1,0,True,True,649
/2020601/https___1914_1918_europeana_eu_contributions_10718,"FRAD083_042 - Jean-Marie Georges Marvoyer | Jean-Marie Georges Marvoyer, French soldier",True,,2,1,1,0,True,True,108
/2020601/https___1914_1918_europeana_eu_contributions_10724,"FRAM - François Henri Morisset (1870-1958), un peintre au front | Documents from François Henri Morisset",True,,2,1,1,0,True,True,134
/2020601/https___1914_1918_europeana_eu_contributions_10727,FRAD066_098b Léon Bultel | Documents from Léon Bultel,True,,2,1,1,0,True,True,165
/2020601/https___1914_1918_europeana_eu_contributions_10728,"FRBMBX-058 - Fernand Caron, le courage d'un soldat ordinaire | Fernand Caron, a brave simple soldier",True,,2,0,2,0,False,True,160
/2020601/https___1914_1918_europeana_eu_contributions_10729,FRAD008_001 Une famille d'Hannogne-Saint-Martin dans la guerre | Documents from Genesseau family,True,,2,1,1,0,True,True,540
/2020601/https___1914_1918_europeana_eu_contributions_1073,"Postkarten- und Fotoalben der Krankenschwester Frieda Gruner | Two albums with photos and postcards written and collected by a nurse working in the field hospital Jarny / France. Postcards with hospital scenes, memorial rites, artillery, military economic activities, eminent German military figures.",True,,1,0,1,0,False,True,251
/2020601/https___1914_1918_europeana_eu_contributions_10736,"Gefreiter Fritz Düngel, Bursche von Major Wilhelm von Ditfurth | Fritz Düngel under the command of Major Wilhelm von Ditfurth",True,,2,0,2,0,False,True,201
/2020601/https___1914_1918_europeana_eu_contributions_10741,"FRAD083_41_Joseph Emile Bournadet | Joseph Emile Bournadet, french soldier",True,,2,1,1,0,True,True,158
/2020601/https___1914_1918_europeana_eu_contributions_10743,"FRAD078-01_1 Léon Ottenheim, la passion de la photographie | Léon Ottenheim, fond of photography",True,,2,1,1,1,True,True,166
/2020601/https___1914_1918_europeana_eu_contributions_10745,"FRAD062_032 - Ernest Gaaeremynck, 1914-1919. | FRAD062_032 - Ernest Gaaeremynck, 1914-1918.",True,,2,0,2,1,False,True,92
/2020601/https___1914_1918_europeana_eu_contributions_10750,FRAD017 - Histoire de Charles Jaffard | Charles Jaffard,True,,2,1,1,0,True,True,100
/2020601/https___1914_1918_europeana_eu_contributions_10752,FRAD087_086-Correspondance du soldat Mousnier | Story of the soldier Jean-Martin Mousnier,True,,2,0,2,1,False,True,94
/2020601/https___1914_1918_europeana_eu_contributions_10759,FRAM - Charles PINAUD | Charles PINAUD,True,,1,1,0,0,True,False,52
/2020601/https___1914_1918_europeana_eu_contributions_10761,FRAD062_075 - Charles Louis (1896-1955). | Document from Louis Charles (1896-1955),True,,2,1,1,1,True,True,95
