record_id,title,included_in_final_corpus,reason,story_words,materials_words
/2020601/https___1914_1918_europeana_eu_contributions_10591,"Pascal PISTON - Départ pour l'Italie en 1917, en passant par la Meuse | Pascal Piston's Letters, Pictures, and Maps from Italy",True,Meets minimum narrative length,58,33
/2020601/https___1914_1918_europeana_eu_contributions_10609,Livret militaire Auguste Ruckebusch | military pass book of Auguste Ruckebusch,True,Meets minimum narrative length,131,4
/2020601/https___1914_1918_europeana_eu_contributions_10614,"FRAD067-206 Quelques bribes du parcours de Victor Heymes (La Wantzenau, Bas-Rhin, 1889-1979) (armée allemande) | Postcards from Victor Heymes",True,Meets minimum narrative length,236,5
/2020601/https___1914_1918_europeana_eu_contributions_10616,"FRAD067-208 Le ""petit gas"" René Rodier demande pardon à son père (1915) | The little René apologizes to his father",True,Meets minimum narrative length,130,3
/2020601/https___1914_1918_europeana_eu_contributions_10618,"FRAD067-114 Papiers militaires d'Anton Steyer, né à Lemberg (Moselle) en 1875 (armée allemande) | Miltary documents, postcards, photographs and prayer book from Anton Steyer",True,Meets minimum narrative length,226,64
/2020601/https___1914_1918_europeana_eu_contributions_10633,Mon grand-père paternel poilu de 14-18 | Charles Georges Richard Pauquet's Pictures from the War,True,Meets minimum narrative length,260,118
/2020601/https___1914_1918_europeana_eu_contributions_10654,FRAN-PI-38 Histoire du volontaire Marcel Jean Eugène Migot | Marcel Migot' story,True,Meets minimum narrative length,226,31
/2020601/https___1914_1918_europeana_eu_contributions_10668,FRAD071-022 Justin et Claudien GONNET. | Document from Justin and Claudien Gonnet.,True,Meets minimum narrative length,139,0
/2020601/https___1914_1918_europeana_eu_contributions_10670,"Emilien Gauvain, soldat Lorrain Mort pour la France | Emilien Gauvain, Soldier From Lorrain Died for France",False,Main story has fewer than 40 words,38,21
/2020601/https___1914_1918_europeana_eu_contributions_10675,"FRAD062_019 - Jules Level, 1914. | FRAD062_019 - Jules Level, 1914.",True,Meets minimum narrative length,104,12
/2020601/https___1914_1918_europeana_eu_contributions_10680,FRAM - Jean-Baptiste LE FLEM | Jean-Baptiste LE FLEM,True,Meets minimum narrative length,43,0
